n,k,q,found,attempts,possible_permutations,execution_time_sec
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0174882411957
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0112612247467
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01557207107544
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.04805397987366
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01328778266907
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0117950439453
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0114870071411
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,2995.6948268413544
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,4301.977110147476
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01359391212463
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0138952732086
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0144488811493
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0151460170746
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01631212234497
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0128970146179
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01643991470337
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01430916786194
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,299.97523617744446
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0105607509613
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0122697353363
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,1246.4144678115845
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,5829.27706694603
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,4409.233761072159
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,3820.1643431186676
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,904.7782561779022
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0072751045227
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.00893211364746
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0091869831085
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0090880393982
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0074908733368
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.02565121650696
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01410698890686
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.00918102264404
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.026330947876
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0190327167511
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.00762963294983
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0116868019104
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0257351398468
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.00933384895325
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0083601474762
