n,k,q,alpha,beta,rmax,weight_factor,budgets,enum_version,trial,seed,timestamp,m_pair_target,n_iter,max_trials_enum,gen_time_s,posterior_time_s,qhat_time_s,repair_time_s,total_time_s,rows_correct_full,rows_correct_support_only,n_rows_total,gv_bound,target_weight_used,uniqueness_guaranteed_gv,iters_used,enum_failures,pairs_recovered,pairs_correct,avg_active_error_dim,max_active_error_dim,frac_r_le_rmax,avg_v_weight,success,error
7,3,7,0.01,0.05,1,1.1,10,random,2,1666460273,2026-07-28T22:58:58.268643+00:00,2,500,500,0.00010609626770019531,0.00012803077697753906,0.0005619525909423828,0.00029087066650390625,0.001352071762084961,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,10,random,3,1806085352,2026-07-28T22:58:58.270403+00:00,2,500,500,0.00012302398681640625,0.00013184547424316406,0.0008971691131591797,0.00023221969604492188,0.0016880035400390625,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,3.5,True,
7,3,7,0.01,0.05,1,1.1,10,random,4,1101291726,2026-07-28T22:58:58.272485+00:00,2,500,500,0.00011587142944335938,0.00013113021850585938,0.0004968643188476562,0.0006372928619384766,0.0016009807586669922,6,1,7,4,4,False,4,0,2,2,0.3333333333333333,1,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,10,linear_combination,0,1639971343,2026-07-28T22:58:58.274438+00:00,2,500,500,0.0001220703125,0.00012993812561035156,0.0004901885986328125,0.2123737335205078,0.21333599090576172,5,2,7,4,4,False,500,0,0,0,1.25,2,0.75,,False,
7,3,7,0.01,0.05,1,1.1,10,linear_combination,1,852546558,2026-07-28T22:58:58.488454+00:00,2,500,500,0.00017499923706054688,0.00012612342834472656,0.0005388259887695312,0.0005650520324707031,0.0016908645629882812,5,0,7,4,4,False,3,0,2,2,1.0,1,1.0,3.5,True,
7,3,7,0.01,0.05,1,1.1,10,linear_combination,2,1751811411,2026-07-28T22:58:58.490529+00:00,2,500,500,0.0001461505889892578,0.00013184547424316406,0.0004961490631103516,0.003577709197998047,0.004594326019287109,6,1,7,4,4,False,9,0,2,2,0.75,1,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,10,linear_combination,3,109361203,2026-07-28T22:58:58.495530+00:00,2,500,500,0.00021195411682128906,0.00013899803161621094,0.0005669593811035156,0.0005037784576416016,0.001725912094116211,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,10,linear_combination,4,729538402,2026-07-28T22:58:58.497651+00:00,2,500,500,0.00012111663818359375,0.0001308917999267578,0.0004909038543701172,0.19873595237731934,0.19970011711120605,4,1,7,4,4,False,500,0,0,0,1.768,2,0.232,,False,
7,3,7,0.01,0.05,1,1.1,10,local_search,0,1166485661,2026-07-28T22:58:58.698039+00:00,2,500,500,0.00016808509826660156,0.00012421607971191406,0.0005090236663818359,0.000286102294921875,0.001363992691040039,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,10,local_search,1,1758296064,2026-07-28T22:58:58.699760+00:00,2,500,500,0.00011897087097167969,0.00013208389282226562,0.0005109310150146484,0.3081488609313965,0.309157133102417,6,1,7,4,4,False,500,18,0,0,1.0,1,1.0,,False,
7,3,7,0.01,0.05,1,1.1,10,local_search,2,254471005,2026-07-28T22:58:59.009636+00:00,2,500,500,0.0001919269561767578,0.00013494491577148438,0.0005900859832763672,0.0010859966278076172,0.0023207664489746094,6,1,7,4,4,False,5,0,2,2,0.5,1,1.0,2.0,True,
7,3,7,0.01,0.05,1,1.1,10,local_search,3,304274763,2026-07-28T22:58:59.012332+00:00,2,500,500,0.00012803077697753906,0.0001308917999267578,0.0005471706390380859,0.0003979206085205078,0.0014591217041015625,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,3.5,True,
7,3,7,0.01,0.05,1,1.1,10,local_search,4,1032426901,2026-07-28T22:58:59.014155+00:00,2,500,500,0.00016927719116210938,0.00013375282287597656,0.0005712509155273438,0.00026297569274902344,0.001439809799194336,6,1,7,4,4,False,3,0,2,2,0.0,0,1.0,3.0,True,
7,3,7,0.01,0.05,1,1.5,2,random,0,738793497,2026-07-28T22:58:59.016109+00:00,2,500,500,0.0001652240753173828,0.00013589859008789062,0.0005750656127929688,0.00015807151794433594,0.0013382434844970703,7,0,7,4,6,False,3,0,2,2,0.0,0,1.0,5.0,True,
7,3,7,0.01,0.05,1,1.5,2,random,1,2094124565,2026-07-28T22:58:59.017831+00:00,2,500,500,0.00012302398681640625,0.00012993812561035156,0.0004951953887939453,0.0008299350738525391,0.0018000602722167969,6,1,7,4,6,False,8,0,2,2,0.7142857142857143,1,1.0,5.0,True,
7,3,7,0.01,0.05,1,1.5,2,random,2,1500016944,2026-07-28T22:58:59.019965+00:00,2,500,500,0.00011277198791503906,0.00012922286987304688,0.0005409717559814453,0.017050981521606445,0.01804494857788086,4,0,7,4,6,False,142,0,2,2,2.028368794326241,3,0.1773049645390071,3.0,True,
