n,k,q,alpha,beta,weight_factor,seed,config_source,target_weight,v_weight,t_active,rows_qhat_correct,r_v_true,mean_est_r,rmax_90,coverage_90,rmax_95,coverage_95,rmax_99,coverage_99,elapsed_posterior_s,elapsed_hungarian_s,elapsed_estimate_s,error
64,32,7,0.01,0.03,1.1,20260877,grid,20,20,20,32,9,10.71148587875572,13,1,13,1,14,1,0.006374835968017578,0.06513404846191406,0.001600027084350586,
64,32,7,0.01,0.03,1.1,20260878,grid,20,20,20,48,5,8.383276918430933,11,1,11,1,13,1,0.006527900695800781,0.06461524963378906,0.0016512870788574219,
64,32,7,0.01,0.03,1.1,20260879,grid,20,20,20,48,4,9.253285448196845,11,1,12,1,13,1,0.006478071212768555,0.06574487686157227,0.001856088638305664,
64,32,7,0.01,0.03,1.1,20260880,grid,20,20,20,41,5,8.48227554263355,11,1,11,1,12,1,0.00745701789855957,0.06500673294067383,0.001619100570678711,
64,32,7,0.01,0.05,1.1,20260881,grid,20,20,20,30,9,12.145475572888706,14,1,15,1,16,1,0.007730007171630859,0.06522703170776367,0.0016360282897949219,
64,32,7,0.01,0.05,1.1,20260882,grid,20,20,20,40,9,12.280883656345132,15,1,15,1,17,1,0.006350278854370117,0.06432580947875977,0.0016169548034667969,
64,32,7,0.01,0.05,1.1,20260883,grid,20,20,20,25,11,12.233444310421927,15,1,15,1,17,1,0.006321907043457031,0.06349301338195801,0.0015909671783447266,
64,32,7,0.01,0.05,1.1,20260884,grid,20,20,20,28,12,12.229868170003629,15,1,15,1,16,1,0.0065500736236572266,0.06418800354003906,0.0016777515411376953,
64,32,7,0.01,0.05,1.1,20260885,grid,20,20,20,26,14,13.748139953001216,16,1,17,1,18,1,0.006509065628051758,0.06364202499389648,0.0016131401062011719,
64,32,7,0.02,0.08,1.1,20260886,grid,20,20,20,21,15,15.20016331279937,18,1,18,1,19,1,0.006527900695800781,0.04076123237609863,0.0017049312591552734,
64,32,7,0.02,0.08,1.1,20260887,grid,20,20,20,24,14,15.549485480238648,18,1,18,1,19,1,0.006592988967895508,0.04057121276855469,0.0015988349914550781,
64,32,7,0.02,0.08,1.1,20260888,grid,20,20,20,18,14,14.98862149277678,17,1,18,1,19,1,0.006512880325317383,0.040270090103149414,0.0016050338745117188,
64,32,7,0.02,0.08,1.1,20260889,grid,20,20,20,20,12,15.068261033217514,17,1,18,1,19,1,0.007544040679931641,0.04024386405944824,0.0015969276428222656,
64,32,7,0.02,0.08,1.1,20260890,grid,20,20,20,27,12,15.568781848626374,18,1,18,1,19,1,0.008975028991699219,0.04851698875427246,0.0016319751739501953,
64,32,29,0.01,0.03,1.1,20260891,grid,24,24,24,54,3,8.100619161762289,10,1,11,1,12,1,0.018443822860717773,0.08099603652954102,0.0060727596282958984,
64,32,29,0.01,0.03,1.1,20260892,grid,24,24,24,58,2,8.483833080994197,11,1,11,1,13,1,0.018559932708740234,0.08127403259277344,0.006036043167114258,
64,32,29,0.01,0.03,1.1,20260893,grid,24,24,24,50,7,11.076104138768468,13,1,14,1,15,1,0.018369674682617188,0.08171319961547852,0.006155967712402344,
64,32,29,0.01,0.03,1.1,20260894,grid,24,24,24,45,9,7.793190322742581,10,1,11,1,12,1,0.018093109130859375,0.08179783821105957,0.006180763244628906,
64,32,29,0.01,0.03,1.1,20260895,grid,24,24,24,43,12,12.186574002958997,15,1,15,1,17,1,0.017837047576904297,0.08085513114929199,0.005870819091796875,
64,32,29,0.01,0.05,1.1,20260896,grid,24,24,24,34,11,12.702763637335638,15,1,16,1,17,1,0.01805400848388672,0.0766439437866211,0.006036996841430664,
64,32,29,0.01,0.05,1.1,20260897,grid,24,24,24,38,10,12.668654771328113,15,1,16,1,17,1,0.018206119537353516,0.07698202133178711,0.006091117858886719,
64,32,29,0.01,0.05,1.1,20260898,grid,24,24,24,39,9,11.980639822654082,14,1,15,1,17,1,0.023947954177856445,0.07816815376281738,0.0059740543365478516,
64,32,29,0.01,0.05,1.1,20260899,grid,24,24,24,39,8,11.542731492788644,14,1,15,1,16,1,0.020166873931884766,0.07778096199035645,0.006011962890625,
64,32,29,0.01,0.05,1.1,20260900,grid,24,24,24,46,2,10.64417321020135,13,1,14,1,16,1,0.018499135971069336,0.07914018630981445,0.005972862243652344,
64,32,29,0.02,0.08,1.1,20260901,grid,24,24,24,29,13,16.891466853137345,19,1,20,1,21,1,0.018291950225830078,0.07513976097106934,0.006078004837036133,
64,32,29,0.02,0.08,1.1,20260902,grid,24,24,24,27,14,13.868673114924835,17,1,17,1,19,1,0.018143892288208008,0.07767224311828613,0.006041049957275391,
64,32,29,0.02,0.08,1.1,20260903,grid,24,24,24,29,13,14.55286473552247,17,1,18,1,19,1,0.018538236618041992,0.07553982734680176,0.006227970123291016,
64,32,29,0.02,0.08,1.1,20260904,grid,24,24,24,22,16,15.974105330649177,18,1,19,1,20,1,0.018102645874023438,0.07558131217956543,0.006206035614013672,
64,32,29,0.02,0.08,1.1,20260905,grid,24,24,24,31,10,16.100760519956648,19,1,19,1,21,1,0.018681049346923828,0.07622289657592773,0.006245136260986328,
64,32,127,0.01,0.03,1.1,20260906,grid,28,28,28,51,6,8.325407894287654,11,1,12,1,13,1,0.08516192436218262,0.15073013305664062,0.028471946716308594,
64,32,127,0.01,0.03,1.1,20260907,grid,28,28,28,56,4,5.968511730676443,8,1,9,1,11,1,0.08549213409423828,0.14688992500305176,0.028254032135009766,
64,32,127,0.01,0.03,1.1,20260908,grid,28,28,28,55,4,8.042060564523878,11,1,11,1,13,1,0.09496712684631348,0.1458580493927002,0.029198169708251953,
64,32,127,0.01,0.03,1.1,20260909,grid,28,28,28,48,5,10.389440331383271,13,1,14,1,15,1,0.08259391784667969,0.14854192733764648,0.028314828872680664,
64,32,127,0.01,0.03,1.1,20260910,grid,28,28,28,58,3,5.759814252862198,8,1,9,1,11,1,0.08141279220581055,0.14499211311340332,0.028959989547729492,
64,32,127,0.01,0.05,1.1,20260911,grid,28,28,28,53,5,10.993998831504538,14,1,15,1,16,1,0.08105993270874023,0.16085195541381836,0.028566837310791016,
64,32,127,0.01,0.05,1.1,20260912,grid,28,28,28,41,9,11.336046685959378,14,1,15,1,17,1,0.08342194557189941,0.15067505836486816,0.0283510684967041,
64,32,127,0.01,0.05,1.1,20260913,grid,28,28,28,38,11,11.000498216532042,14,1,15,1,16,1,0.08259987831115723,0.15026521682739258,0.028683900833129883,
64,32,127,0.01,0.05,1.1,20260914,grid,28,28,28,54,2,10.868362811946273,14,1,15,1,16,1,0.08101606369018555,0.14896273612976074,0.028522968292236328,
64,32,127,0.01,0.05,1.1,20260915,grid,28,28,28,42,8,9.146823193728325,12,1,13,1,15,1,0.08186006546020508,0.1510009765625,0.028398990631103516,
64,32,127,0.02,0.08,1.1,20260916,grid,28,28,28,34,13,15.73179863279945,19,1,20,1,21,1,0.08552384376525879,0.14196109771728516,0.0289309024810791,
64,32,127,0.02,0.08,1.1,20260917,grid,28,28,28,42,12,16.392623661294813,19,1,20,1,22,1,0.08742403984069824,0.14946603775024414,0.028615951538085938,
64,32,127,0.02,0.08,1.1,20260918,grid,28,28,28,32,7,13.351063681997134,16,1,17,1,19,1,0.08222103118896484,0.14155292510986328,0.028384923934936523,
64,32,127,0.02,0.08,1.1,20260919,grid,28,28,28,41,11,13.635342508141997,17,1,18,1,19,1,0.08169865608215332,0.14258217811584473,0.028723955154418945,
64,32,127,0.02,0.08,1.1,20260920,grid,28,28,28,36,14,15.15829969878424,18,1,19,1,21,1,0.08301782608032227,0.14881014823913574,0.02776813507080078,
128,64,7,0.01,0.03,1.1,20260921,grid,36,36,36,60,21,22.25343110143443,25,1,26,1,28,1,0.032942771911621094,0.2649571895599365,0.005833864212036133,
128,64,7,0.01,0.03,1.1,20260922,grid,36,36,36,67,19,24.07336873494472,27,1,28,1,29,1,0.02503824234008789,0.2649719715118408,0.006719112396240234,
128,64,7,0.01,0.03,1.1,20260923,grid,36,36,36,58,17,20.05582766561053,23,1,24,1,26,1,0.025898218154907227,0.26445984840393066,0.005755186080932617,
128,64,7,0.01,0.03,1.1,20260924,grid,36,36,36,49,22,21.965119224457446,25,1,26,1,28,1,0.02555394172668457,0.26363301277160645,0.0055999755859375,
128,64,7,0.01,0.03,1.1,20260925,grid,36,36,36,62,15,23.031071840324312,26,1,27,1,28,1,0.025617122650146484,0.26050901412963867,0.0056879520416259766,
128,64,7,0.01,0.05,1.1,20260926,grid,36,36,36,45,23,24.384209065873453,28,1,29,1,30,1,0.026666879653930664,0.2614860534667969,0.005850076675415039,
128,64,7,0.01,0.05,1.1,20260927,grid,36,36,36,41,28,26.898550009714803,30,1,31,1,32,1,0.038378000259399414,0.2605161666870117,0.005670785903930664,
128,64,7,0.01,0.05,1.1,20260928,grid,36,36,36,44,24,26.662807570224516,30,1,31,1,32,1,0.03863716125488281,0.260347843170166,0.005609989166259766,
128,64,7,0.01,0.05,1.1,20260929,grid,36,36,36,39,26,26.603913107656126,30,1,31,1,32,1,0.03754091262817383,0.26215481758117676,0.005764961242675781,
128,64,7,0.01,0.05,1.1,20260930,grid,36,36,36,44,23,25.131487175683752,28,1,29,1,31,1,0.037615299224853516,0.26070380210876465,0.005587339401245117,
128,64,7,0.02,0.08,1.1,20260931,grid,36,36,36,14,32,29.924700625342005,33,1,33,1,34,1,0.03628802299499512,0.24973297119140625,0.00566411018371582,
128,64,7,0.02,0.08,1.1,20260932,grid,36,36,36,24,31,29.753517861170064,33,1,33,1,34,1,0.03542804718017578,0.24955105781555176,0.005650043487548828,
128,64,7,0.02,0.08,1.1,20260933,grid,36,36,36,33,27,30.082992171613032,33,1,33,1,35,1,0.03535795211791992,0.2514200210571289,0.005498170852661133,
128,64,7,0.02,0.08,1.1,20260934,grid,36,36,36,31,28,30.2110914027789,33,1,34,1,35,1,0.03464865684509277,0.2514681816101074,0.00574183464050293,
128,64,7,0.02,0.08,1.1,20260935,grid,36,36,36,19,26,30.449547357562857,33,1,34,1,35,1,0.035015106201171875,0.250856876373291,0.005697011947631836,
128,64,29,0.01,0.03,1.1,20260936,grid,47,47,47,103,11,21.885391483703543,25,1,26,1,28,1,0.07144904136657715,0.32865476608276367,0.024343252182006836,
128,64,29,0.01,0.03,1.1,20260937,grid,47,47,47,75,16,19.770614104360888,23,1,24,1,26,1,0.07238292694091797,0.3338150978088379,0.026674747467041016,
128,64,29,0.01,0.03,1.1,20260938,grid,47,47,47,102,9,22.74305454329986,26,1,27,1,29,1,0.07175183296203613,0.3312110900878906,0.02367711067199707,
128,64,29,0.01,0.03,1.1,20260939,grid,47,47,47,91,13,19.541688812409213,23,1,24,1,26,1,0.07181882858276367,0.3372223377227783,0.023814916610717773,
128,64,29,0.01,0.03,1.1,20260940,grid,47,47,47,90,11,19.645096015983874,23,1,24,1,26,1,0.0719759464263916,0.3321268558502197,0.025339841842651367,
